Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,5.810000,5.880000,5.800000,5.860000,5.860000,1869800
2021-10-21,5.810000,5.830000,5.770000,5.800000,5.800000,1627900
2021-10-22,5.820000,5.830000,5.760000,5.770000,5.770000,815500
2021-10-25,5.720000,5.740000,5.710000,5.720000,5.720000,1007900
2021-10-26,5.700000,5.700000,5.640000,5.660000,5.660000,1773200
2021-10-27,5.630000,5.640000,5.570000,5.570000,5.570000,1473100
2021-10-28,5.570000,5.590000,5.560000,5.580000,5.580000,786300
2021-10-29,5.510000,5.530000,5.470000,5.510000,5.510000,936200
2021-11-01,5.610000,5.650000,5.600000,5.640000,5.640000,1064900
2021-11-02,5.630000,5.630000,5.600000,5.620000,5.620000,2133500
2021-11-03,5.620000,5.680000,5.600000,5.670000,5.670000,911500
2021-11-04,5.670000,5.680000,5.600000,5.620000,5.620000,1782400
2021-11-05,5.620000,5.650000,5.610000,5.630000,5.630000,849500
2021-11-08,5.660000,5.720000,5.660000,5.700000,5.700000,1167000
2021-11-09,5.590000,5.620000,5.560000,5.570000,5.570000,1528200
2021-11-10,5.560000,5.650000,5.550000,5.610000,5.610000,1668000
2021-11-11,5.600000,5.640000,5.590000,5.620000,5.620000,1163300
2021-11-12,5.640000,5.710000,5.630000,5.690000,5.690000,1583600
2021-11-15,5.770000,5.830000,5.760000,5.770000,5.770000,995300
2021-11-16,5.680000,5.720000,5.630000,5.700000,5.700000,1773900
2021-11-17,5.600000,5.620000,5.570000,5.610000,5.610000,1326600
2021-11-18,5.610000,5.630000,5.560000,5.610000,5.610000,1042000
2021-11-19,5.610000,5.610000,5.520000,5.560000,5.560000,4844900
2021-11-22,5.520000,5.590000,5.510000,5.570000,5.570000,1134400
2021-11-23,5.580000,5.630000,5.560000,5.590000,5.590000,1396900
2021-11-24,5.570000,5.590000,5.540000,5.580000,5.580000,1064100
2021-11-26,5.450000,5.460000,5.340000,5.380000,5.380000,1204500
2021-11-29,5.390000,5.420000,5.340000,5.380000,5.380000,1607300
2021-11-30,5.310000,5.350000,5.260000,5.280000,5.280000,2399200
2021-12-01,5.450000,5.470000,5.330000,5.330000,5.330000,2164600
2021-12-02,5.400000,5.520000,5.400000,5.510000,5.510000,1968900
2021-12-03,5.540000,5.540000,5.420000,5.440000,5.440000,9836800
2021-12-06,5.510000,5.590000,5.490000,5.550000,5.550000,3051000
2021-12-07,5.610000,5.670000,5.590000,5.640000,5.640000,1668500
2021-12-08,5.610000,5.650000,5.580000,5.650000,5.650000,4641800
2021-12-09,5.610000,5.610000,5.560000,5.560000,5.560000,1596200
2021-12-10,5.590000,5.610000,5.550000,5.580000,5.580000,799000
2021-12-13,5.510000,5.520000,5.480000,5.490000,5.490000,1241900
2021-12-14,5.510000,5.580000,5.490000,5.570000,5.570000,1525700
2021-12-15,5.610000,5.650000,5.570000,5.620000,5.620000,1520100
